Station Name,Community,Average Trip Duration (minutes)
"Abbey Orchard Street, Westminster",3,12.546101941097724
"Abingdon Green, Westminster",3,12.369195055821372
"Albany Street, The Regent's Park",0,9.313987093495934
"Albert Embankment, Vauxhall",3,13.959423139158577
"Albert Gate, Hyde Park",3,18.9102945450325
"Aldersgate Street, Barbican",1,8.689902698032961
"Allington Street, Victoria",3,13.2840659447983
"Ampton Street , Clerkenwell",0,8.900851131687244
"Archbishop's Park, Waterloo",2,9.821217196969696
"Argyle Street, Kings Cross",0,12.347226738657973
"Arundel Street, Temple",2,12.44655904882155
"Ashley Place, Victoria",3,10.391139217557251
"Baker Street, Marylebone",0,10.687375396825397
"Baldwin Street, St. Luke's",1,11.439908943630716
"Bank of England Museum, Bank",1,10.97551186299081
"Bankside Mix, Bankside",2,9.577408634175692
"Barbican Centre, Barbican",1,10.748691489361702
"Bath Street, St. Luke's",1,9.239832771867611
"Bayley Street , Bloomsbury",0,10.188376433807676
"Baylis Road, Waterloo",2,9.613289021956088
"Beaumont Street, Marylebone",0,12.402989334521688
"Bedford Way, Bloomsbury",0,12.324591748768473
"Belgrave Road, Victoria",3,12.800620904761907
"Belgrave Square, Belgravia",3,13.326297480620156
"Bell Lane, Liverpool Street",1,10.712705086206897
"Bell Street , Marylebone",0,12.50980468238376
"Belvedere Road 1, South Bank",1,11.178658210007047
"Belvedere Road 2, South Bank",2,11.456875095238095
"Bermondsey Street, Bermondsey",2,11.753420980639731
"Berry Street, Clerkenwell",1,10.2675906
"Bethnal Green Road, Shoreditch",1,10.009399164054336
"Birkenhead Street, King's Cross",0,13.338294685039369
"Black Prince Road, Vauxhall",2,11.785819793681496
"Blackfriars Road, Southwark",2,10.055948767605635
"Blackfriars Station, St. Paul's",1,9.465255096935586
"Bolsover Street, Fitzrovia",0,10.069429269125683
"Borough High Street, The Borough",2,10.802685912698413
"Borough Road, Elephant & Castle",2,9.42811745852187
"Boston Place, Marylebone",0,15.536065084388186
"Bourne Street, Belgravia",3,12.879369562146893
"Bouverie Street, Temple",2,10.659045486111111
"Braham Street, Aldgate",1,12.568439026305457
"Brandon Street, Walworth",2,12.241443827160493
"Breams Buildings, Holborn",1,10.310440213010938
"Brick Lane Market, Shoreditch",1,11.065195381526104
"Bricklayers Arms, Borough",2,11.081990457142856
"British Museum, Bloomsbury",0,10.190676425269645
"Broadcasting House, Marylebone",0,11.01007701754386
"Broadley Terrace, Marylebone",0,13.215734964539006
"Broadwick Street, Soho",0,12.587061954887217
"Brunswick Square, Bloomsbury",0,9.011405669099757
"Brushfield Street, Liverpool Street",1,12.294025538502963
"Bruton Street, Mayfair",0,12.463046392496393
"Buckingham Gate, Westminster",3,13.99119175531915
"Bunhill Row, Moorgate",1,9.49316808647951
"Bury Place, Holborn",0,11.053917717717718
"Butler Place, Westminster",3,12.578535747663551
"Buxton Street 1, Shoreditch",1,13.406285507246377
"Cadogan Gardens, Chelsea",3,13.309256112702961
"Cadogan Place, Knightsbridge",3,13.053337988826817
"Calshot Street , King's Cross",0,13.395234356725148
"Carey Street, Holborn",2,10.64538000801282
"Cartwright Gardens , Bloomsbury",0,9.765493888888889
"Central House, Aldgate",1,13.305755468749998
"Chadwell Street, Angel",1,10.956288105835807
"Chapel Place, Marylebone",0,11.470273523622048
"Charlbert Street, St. John's Wood",0,14.713701421568627
"Charles II Street, West End",3,13.000132640949555
"Charlotte Street, Fitzrovia",0,10.064893127572017
"Cheapside, Bank",1,10.543668960734102
