commonName,lat,lon,NbDocks,geometry,Station_number,Community,Unique_Trips,Total_network_trips,Utilization
"River Street , Clerkenwell",51.529163,-0.10997,19,POINT (700457.6895490855 5712632.1372792665),1023,1,347,211577,0.001640064846367989
"Christopher Street, Liverpool Street",51.521283,-0.084605,32,POINT (702251.640902797 5711825.858795362),1012,1,449,211577,0.0021221588357902797
"St. Chad's Street, King's Cross",51.530059,-0.120973,23,POINT (699690.7244891608 5712701.654961897),1013,0,283,211577,0.0013375745000638066
"Sedding Street, Sloane Square",51.49313,-0.156876,27,POINT (697360.5455241217 5708498.365484301),3420,3,406,211577,0.001918923134367157
"Broadcasting House, Marylebone",51.518117,-0.144228,18,POINT (698129.9010837389 5711310.670292128),3424,0,570,211577,0.0026940546467716245
"Charlbert Street, St. John's Wood",51.5343,-0.168074,16,POINT (696406.1191667509 5713045.626331833),3422,0,340,211577,0.001606979964740969
"New Globe Walk, Bankside",51.507385,-0.09644,19,POINT (701492.1098577491 5710247.99872348),1015,2,319,211577,0.001507725319859909
"Park Street, Bankside",51.505974,-0.092754,18,POINT (701754.0854808401 5710101.280816227),1024,2,218,211577,0.0010303577420986212
"Brunswick Square, Bloomsbury",51.523951,-0.122502,24,POINT (699611.4163656881 5712018.380143867),1022,0,685,211577,0.0032375919877869522
"Malet Street, Bloomsbury",51.52168,-0.130431,49,POINT (699071.3953932829 5711744.275086651),980,0,1289,211577,0.006092344631032674
"Scala Street, Fitzrovia",51.519914,-0.136039,21,POINT (698690.1128155339 5711532.678439824),970,0,543,211577,0.0025664415319245474
"Argyle Street, Kings Cross",51.529416,-0.123944,45,POINT (699487.5055428941 5712622.056573413),1011,0,2454,211577,0.011598614216100993
"Great Russell Street, Bloomsbury",51.517727,-0.127854,26,POINT (699267.3978985668 5711311.788770915),988,0,517,211577,0.0024435548287384734
"Cartwright Gardens , Bloomsbury",51.526357,-0.125979,21,POINT (699359.7494795077 5712276.4009797955),1010,0,600,211577,0.00283584699660171
"Hatton Wall, Holborn",51.521661,-0.109006,26,POINT (700557.5179070572 5711800.693465647),1008,1,889,211577,0.004201779966631534
"Drury Lane, Covent Garden",51.51477,-0.122219,27,POINT (699671.2129700341 5710998.3896947885),1007,0,787,211577,0.003719685977209243
"Taviton Street, Bloomsbury",51.52505,-0.131161,30,POINT (699006.0630774255 5712116.973011884),1009,0,889,211577,0.004201779966631534
"Drummond Street , Euston",51.527326,-0.136052,28,POINT (698656.9362694563 5712356.727549303),993,0,421,211577,0.0019898193092822
"Northington Street , Holborn",51.522264,-0.114079,19,POINT (700203.0090038239 5711853.837899662),3425,0,804,211577,0.0038000349754462913
"Red Lion Square, Holborn",51.519435,-0.119123,16,POINT (699865.5526481713 5711525.509333807),3421,0,370,211577,0.0017487723145710545
"British Museum, Bloomsbury",51.51908,-0.124678,35,POINT (699481.790303905 5711470.875232247),981,0,649,211577,0.0030674411679908497
"Doric Way , Somers Town",51.528833,-0.13225,50,POINT (698914.0400311323 5712534.613580225),1004,0,952,211577,0.004499543901274713
"Ampton Street , Clerkenwell",51.52728,-0.118295,21,POINT (699888.6133905658 5712399.995512439),1019,0,486,211577,0.0022970360672473853
"Bouverie Street, Temple",51.513821,-0.107927,33,POINT (700666.8285649393 5710931.987707127),1021,2,576,211577,0.0027224131167376416
"Bolsover Street, Fitzrovia",51.523518,-0.143613,19,POINT (698149.1060044516 5711912.833487239),1025,0,488,211577,0.002306488890569391
"Windsor Terrace, Hoxton",51.529154,-0.093421,24,POINT (701605.3761187105 5712676.627229066),1029,1,571,211577,0.002698781058432627
"Fanshaw Street, Hoxton",51.529537,-0.083353,36,POINT (702301.8755660217 5712747.0122642545),3427,1,654,211577,0.0030910732262958637
"Leonard Circus , Shoreditch",51.524696,-0.084439,43,POINT (702248.0251150315 5712205.779659334),1020,1,790,211577,0.0037338652121922515
"Central House, Aldgate",51.515231,-0.07015,18,POINT (703281.1985446087 5711193.0626632925),3430,1,320,211577,0.001512451731520912
"Pancras Road, King's Cross",51.534123,-0.129386,16,POINT (699089.5654579361 5713130.562144762),3428,0,226,211577,0.001068169035386644
"Shoreditch High Street, Shoreditch",51.526377,-0.07813,41,POINT (702678.1171697058 5712410.140615334),3445,1,702,211577,0.003317940986024001
"Commercial Street, Shoreditch",51.52127,-0.075578,16,POINT (702877.8123461218 5711849.4140026225),1083,1,276,211577,0.0013044896184367866
"Pindar Street, Liverpool Street",51.520955,-0.083493,24,POINT (702330.2238314708 5711792.46688062),1084,1,252,211577,0.0011910557385727183
"Wenlock Road , Hoxton",51.530991,-0.093903,28,POINT (701563.8326080084 5712879.539254069),979,1,920,211577,0.004348298728122622
"Crawford Street, Marylebone",51.52026,-0.157183,18,POINT (697222.0039486261 5711513.923644061),1036,0,538,211577,0.0025428094736195334
"Bruton Street, Mayfair",51.510736,-0.144165,21,POINT (698166.3156989609 5710490.202837724),1034,0,231,211577,0.0010918010936916583
"Boston Place, Marylebone",51.522511,-0.162298,26,POINT (696857.5019269667 5711750.417170171),1035,0,1106,211577,0.005227411297069152
"Godliman Street, St. Paul's",51.512484,-0.099141,25,POINT (701282.2251579571 5710807.477017853),971,1,495,211577,0.0023395737721964107
