commonName,lat,lon,NbDocks,geometry,Station_number,Community,Trip_Station,Station_Trip_Count,Total_Community_Trips,Utilization
"River Street , Clerkenwell",51.529163,-0.10997,19,POINT (700457.6895490855 5712632.1372792665),1023,1,"River Street , Clerkenwell",331,36599,0.009043962949807373
"Christopher Street, Liverpool Street",51.521283,-0.084605,32,POINT (702251.640902797 5711825.858795362),1012,1,"Christopher Street, Liverpool Street",608,36599,0.01661247575070357
"St. Chad's Street, King's Cross",51.530059,-0.120973,23,POINT (699690.7244891608 5712701.654961897),1013,0,"St. Chad's Street, King's Cross",316,34559,0.009143783095575682
"Sedding Street, Sloane Square",51.49313,-0.156876,27,POINT (697360.5455241217 5708498.365484301),3420,3,"Sedding Street, Sloane Square",526,16382,0.0321084116713466
"Broadcasting House, Marylebone",51.518117,-0.144228,18,POINT (698129.9010837389 5711310.670292128),3424,0,"Broadcasting House, Marylebone",734,34559,0.021239040481495414
"Charlbert Street, St. John's Wood",51.5343,-0.168074,16,POINT (696406.1191667509 5713045.626331833),3422,0,"Charlbert Street, St. John's Wood",486,34559,0.014062906912815764
"New Globe Walk, Bankside",51.507385,-0.09644,19,POINT (701492.1098577491 5710247.99872348),1015,2,"New Globe Walk, Bankside",300,27563,0.010884156296484418
"Park Street, Bankside",51.505974,-0.092754,18,POINT (701754.0854808401 5710101.280816227),1024,2,"Park Street, Bankside",220,27563,0.007981714617421906
"Brunswick Square, Bloomsbury",51.523951,-0.122502,24,POINT (699611.4163656881 5712018.380143867),1022,0,"Brunswick Square, Bloomsbury",882,34559,0.02552157180473972
"Malet Street, Bloomsbury",51.52168,-0.130431,49,POINT (699071.3953932829 5711744.275086651),980,0,"Malet Street, Bloomsbury",1499,34559,0.04337509765907578
"Scala Street, Fitzrovia",51.519914,-0.136039,21,POINT (698690.1128155339 5711532.678439824),970,0,"Scala Street, Fitzrovia",677,34559,0.019589687201597268
"Argyle Street, Kings Cross",51.529416,-0.123944,45,POINT (699487.5055428941 5712622.056573413),1011,0,"Argyle Street, Kings Cross",2711,34559,0.07844555687375214
"Great Russell Street, Bloomsbury",51.517727,-0.127854,26,POINT (699267.3978985668 5711311.788770915),988,0,"Great Russell Street, Bloomsbury",573,34559,0.016580340866344512
"Cartwright Gardens , Bloomsbury",51.526357,-0.125979,21,POINT (699359.7494795077 5712276.4009797955),1010,0,"Cartwright Gardens , Bloomsbury",775,34559,0.022425417402123903
"Hatton Wall, Holborn",51.521661,-0.109006,26,POINT (700557.5179070572 5711800.693465647),1008,1,"Hatton Wall, Holborn",874,36599,0.023880433891636382
"Drury Lane, Covent Garden",51.51477,-0.122219,27,POINT (699671.2129700341 5710998.3896947885),1007,0,"Drury Lane, Covent Garden",642,34559,0.0185769264156949
"Taviton Street, Bloomsbury",51.52505,-0.131161,30,POINT (699006.0630774255 5712116.973011884),1009,0,"Taviton Street, Bloomsbury",1098,34559,0.03177175265488006
"Drummond Street , Euston",51.527326,-0.136052,28,POINT (698656.9362694563 5712356.727549303),993,0,"Drummond Street , Euston",501,34559,0.014496947249631065
"Northington Street , Holborn",51.522264,-0.114079,19,POINT (700203.0090038239 5711853.837899662),3425,0,"Northington Street , Holborn",832,34559,0.02407477068202205
"Red Lion Square, Holborn",51.519435,-0.119123,16,POINT (699865.5526481713 5711525.509333807),3421,0,"Red Lion Square, Holborn",331,34559,0.009577823432390983
"British Museum, Bloomsbury",51.51908,-0.124678,35,POINT (699481.790303905 5711470.875232247),981,0,"British Museum, Bloomsbury",754,34559,0.02181776093058248
"Doric Way , Somers Town",51.528833,-0.13225,50,POINT (698914.0400311323 5712534.613580225),1004,0,"Doric Way , Somers Town",623,34559,0.018027141989062183
"Ampton Street , Clerkenwell",51.52728,-0.118295,21,POINT (699888.6133905658 5712399.995512439),1019,0,"Ampton Street , Clerkenwell",556,34559,0.016088428484620505
"Bouverie Street, Temple",51.513821,-0.107927,33,POINT (700666.8285649393 5710931.987707127),1021,2,"Bouverie Street, Temple",429,27563,0.015564343503972717
"Bolsover Street, Fitzrovia",51.523518,-0.143613,19,POINT (698149.1060044516 5711912.833487239),1025,0,"Bolsover Street, Fitzrovia",687,34559,0.019879047426140804
"Windsor Terrace, Hoxton",51.529154,-0.093421,24,POINT (701605.3761187105 5712676.627229066),1029,1,"Windsor Terrace, Hoxton",684,36599,0.018689035219541517
"Fanshaw Street, Hoxton",51.529537,-0.083353,36,POINT (702301.8755660217 5712747.0122642545),3427,1,"Fanshaw Street, Hoxton",875,36599,0.023907757042542145
"Leonard Circus , Shoreditch",51.524696,-0.084439,43,POINT (702248.0251150315 5712205.779659334),1020,1,"Leonard Circus , Shoreditch",1096,36599,0.029946173392715648
"Central House, Aldgate",51.515231,-0.07015,18,POINT (703281.1985446087 5711193.0626632925),3430,1,"Central House, Aldgate",351,36599,0.00959042596792262
"Pancras Road, King's Cross",51.534123,-0.129386,16,POINT (699089.5654579361 5713130.562144762),3428,0,"Pancras Road, King's Cross",329,34559,0.009519951387482276
"Shoreditch High Street, Shoreditch",51.526377,-0.07813,41,POINT (702678.1171697058 5712410.140615334),3445,1,"Shoreditch High Street, Shoreditch",745,36599,0.020355747424793028
"Commercial Street, Shoreditch",51.52127,-0.075578,16,POINT (702877.8123461218 5711849.4140026225),1083,1,"Commercial Street, Shoreditch",277,36599,0.0075685128008961995
"Pindar Street, Liverpool Street",51.520955,-0.083493,24,POINT (702330.2238314708 5711792.46688062),1084,1,"Pindar Street, Liverpool Street",423,36599,0.011557692833137517
"Wenlock Road , Hoxton",51.530991,-0.093903,28,POINT (701563.8326080084 5712879.539254069),979,1,"Wenlock Road , Hoxton",1110,36599,0.030328697505396324
"Crawford Street, Marylebone",51.52026,-0.157183,18,POINT (697222.0039486261 5711513.923644061),1036,0,"Crawford Street, Marylebone",708,34559,0.020486703897682226
"Bruton Street, Mayfair",51.510736,-0.144165,21,POINT (698166.3156989609 5710490.202837724),1034,0,"Bruton Street, Mayfair",238,34559,0.006886773344136115
"Boston Place, Marylebone",51.522511,-0.162298,26,POINT (696857.5019269667 5711750.417170171),1035,0,"Boston Place, Marylebone",1008,34559,0.02916751063398825
"Godliman Street, St. Paul's",51.512484,-0.099141,25,POINT (701282.2251579571 5710807.477017853),971,1,"Godliman Street, St. Paul's",482,36599,0.013169758736577502
"Curzon Street, Mayfair",51.507069,-0.145904,16,POINT (698061.5783335255 5710077.787349085),3437,3,"Curzon Street, Mayfair",227,16382,0.013856671957026005
"Finsbury Library , Finsbury",51.526717,-0.104298,29,POINT (700861.8038857598 5712375.748676844),986,1,"Finsbury Library , Finsbury",470,36599,0.012841880925708352
"Roscoe Street, St. Luke's",51.522954,-0.094934,18,POINT (701527.8383824888 5711983.131572056),1026,1,"Roscoe Street, St. Luke's",712,36599,0.019454083444902865
"Grafton Street, Mayfair",51.509992,-0.143495,18,POINT (698216.0289577442 5710409.2982946765),3431,3,"Grafton Street, Mayfair",155,16382,0.009461604199731412
"Golden Lane, Barbican",51.521747,-0.094475,27,POINT (701565.0056498937 5711850.200297283),967,1,"Golden Lane, Barbican",616,36599,0.01683106095794967
"Finsbury Circus, Liverpool Street",51.517075,-0.086685,33,POINT (702126.0100996032 5711352.258191065),984,1,"Finsbury Circus, Liverpool Street",1341,36599,0.03664034536462745
"Paddington Street, Marylebone",51.520583,-0.154701,16,POINT (697392.76493727 5711556.530966281),1033,0,"Paddington Street, Marylebone",793,34559,0.022946265806302265
"Guilford Street , Bloomsbury",51.523346,-0.120202,32,POINT (699773.5855847336 5711957.394637886),974,0,"Guilford Street , Bloomsbury",975,34559,0.028212621892994588
"New Inn Yard, Shoreditch",51.524526,-0.079248,20,POINT (702608.8015210904 5712201.246458163),1032,1,"New Inn Yard, Shoreditch",637,36599,0.01740484712697068
"Great Dover Street, The Borough",51.497382,-0.089446,33,POINT (702021.6171476815 5709155.140769568),1017,2,"Great Dover Street, The Borough",1256,27563,0.04556833436128143
"Cotton Garden Estate, Kennington",51.490757,-0.106323,24,POINT (700879.5442850459 5708372.09889388),990,2,"Cotton Garden Estate, Kennington",498,27563,0.018067699452164132
"Murray Grove , Hoxton",51.53089,-0.089782,27,POINT (701850.0523170141 5712879.676281598),989,1,"Murray Grove , Hoxton",609,36599,0.016639798901609333
"William IV Street, Strand",51.509462,-0.124749,26,POINT (699518.9060619209 5710401.33233581),1028,0,"William IV Street, Strand",974,34559,0.028183685870540237
"Gower Place , Euston",51.525227,-0.135188,17,POINT (698725.9991034348 5712125.702721322),969,0,"Gower Place , Euston",772,34559,0.022338609334760843
"Holborn Circus, Holborn",51.51795,-0.108657,40,POINT (700598.0375795757 5711389.054823046),982,1,"Holborn Circus, Holborn",1186,36599,0.03240525697423427
"Hatton Garden, Holborn",51.518825,-0.108028,28,POINT (700637.821377374 5711488.064081278),985,1,"Hatton Garden, Holborn",817,36599,0.022323014290007923
"Theobald's Road , Holborn",51.520596,-0.116688,26,POINT (700029.3631982289 5711661.24809496),975,0,"Theobald's Road , Holborn",743,34559,0.021499464683584595
"Euston Road, Euston",51.526236,-0.134407,24,POINT (698775.7689970618 5712240.008187766),983,0,"Euston Road, Euston",582,34559,0.016840765068433693
"Calshot Street , King's Cross",51.53136,-0.117069,24,POINT (699955.7530467254 5712856.970114164),1066,0,"Calshot Street , King's Cross",250,34559,0.007234005613588356
"Newgate Street , St. Paul's",51.515418,-0.09885,34,POINT (701289.4727155503 5711134.4843212925),1074,1,"Newgate Street , St. Paul's",1114,36599,0.03043799010901937
"Farringdon Lane, Clerkenwell",51.52352,-0.10834,16,POINT (700595.5384856656 5712009.206930471),3432,1,"Farringdon Lane, Clerkenwell",419,36599,0.011448400229514467
