Station,Start Count,End Count,Classification
"Holborn Circus, Holborn",796,238,Starting Point
"Wormwood Street, Liverpool Street",777,777,Ending Point
"Queen Street 2, Bank",724,198,Starting Point
"Moorfields, Moorgate",651,215,Starting Point
"Cheapside, Bank",638,297,Starting Point
"Queen Street 1, Bank",621,342,Starting Point
"Hop Exchange, The Borough",608,772,Ending Point
"Museum of London, Barbican",575,98,Starting Point
"Soho Square , Soho",563,547,Starting Point
"Strand, Strand",554,248,Starting Point
"Malet Street, Bloomsbury",551,203,Starting Point
"St. James's Square, St. James's",542,382,Starting Point
"Finsbury Circus, Liverpool Street",533,454,Starting Point
"Newgate Street , St. Paul's",524,153,Starting Point
"Brushfield Street, Liverpool Street",519,411,Starting Point
"New Fetter Lane, Holborn",519,103,Starting Point
"Old Street Station, St. Luke's",497,587,Ending Point
"Little Argyll Street, West End",480,482,Ending Point
"Wells Street, Fitzrovia",455,170,Starting Point
"Red Lion Street, Holborn",436,185,Starting Point
"Sun Street, Liverpool Street",424,275,Starting Point
"Duke Street Hill, London Bridge",423,571,Ending Point
"Kingsway Southbound, Strand",422,138,Starting Point
"High Holborn , Covent Garden",417,286,Starting Point
"Westminster Pier, Westminster",415,185,Starting Point
"Aldersgate Street, Barbican",413,359,Starting Point
"Blackfriars Station, St. Paul's",410,321,Starting Point
"Warren Street Station, Euston",407,414,Ending Point
"Breams Buildings, Holborn",403,57,Starting Point
"Hatton Garden, Holborn",402,167,Starting Point
"Worship Street, Shoreditch",402,87,Starting Point
"Queen Victoria Street, St. Paul's",396,113,Starting Point
"Bunhill Row, Moorgate",393,258,Starting Point
"Farringdon Street, Holborn",391,63,Starting Point
"Fore Street Avenue, Guildhall",389,62,Starting Point
"Eagle Wharf Road, Hoxton",386,606,Ending Point
"St. Bride Street, Holborn",384,76,Starting Point
"Great Tower Street, Monument",372,248,Starting Point
"Wellington Street , Strand",371,368,Starting Point
"Bayley Street , Bloomsbury",367,204,Starting Point
"Drury Lane, Covent Garden",357,404,Ending Point
"Clerkenwell Green, Clerkenwell",353,315,Starting Point
"Marylebone Lane, Marylebone",350,186,Starting Point
"Whitehall Place, Strand",347,311,Starting Point
"Moor Street, Soho",344,398,Ending Point
"Leonard Circus , Shoreditch",340,230,Starting Point
"Warwick Row, Westminster",334,370,Ending Point
"Finsbury Leisure Centre, St. Luke's",334,391,Ending Point
"Howland Street, Fitzrovia",328,169,Starting Point
"Wardour Street, Soho",328,314,Starting Point
"Tooley Street, Bermondsey",326,455,Ending Point
"Hatton Wall, Holborn",326,228,Starting Point
"Berry Street, Clerkenwell",323,187,Starting Point
"Page Street, Westminster",321,304,Starting Point
"Chapel Place, Marylebone",316,134,Starting Point
"Bouverie Street, Temple",315,81,Starting Point
"Allington Street, Victoria",313,354,Ending Point
"Golden Square, Soho",310,228,Starting Point
"Tysoe Street, Clerkenwell",303,295,Starting Point
"Earnshaw Street , Covent Garden",302,287,Starting Point
"Bethnal Green Road, Shoreditch",297,584,Ending Point
"Scala Street, Fitzrovia",296,119,Starting Point
"Wenlock Road , Hoxton",294,309,Ending Point
"Broadwick Street, Soho",292,262,Starting Point
"Lambeth Palace Road, Waterloo",291,244,Starting Point
"Taviton Street, Bloomsbury",290,184,Starting Point
"Barbican Centre, Barbican",289,193,Starting Point
"Bank of England Museum, Bank",289,298,Ending Point
"Theobald's Road , Holborn",284,249,Starting Point
"Braham Street, Aldgate",282,236,Starting Point
"Store Street, Bloomsbury",278,83,Starting Point
"Good's Way, King's Cross",278,290,Ending Point
