Station,Start Count,End Count,Classification
"Waterloo Station 1, Waterloo",1504,139,Starting Point
"Waterloo Station 2, Waterloo",716,11,Starting Point
"Wormwood Street, Liverpool Street",581,396,Starting Point
"Eagle Wharf Road, Hoxton",569,275,Starting Point
"Duke Street Hill, London Bridge",498,368,Starting Point
"Boston Place, Marylebone",471,56,Starting Point
"Aldersgate Street, Barbican",389,258,Starting Point
"Crosswall, Tower",383,283,Starting Point
"Wenlock Road , Hoxton",373,139,Starting Point
"Tanner Street, Bermondsey",364,88,Starting Point
"Tooley Street, Bermondsey",353,280,Starting Point
"Baylis Road, Waterloo",343,198,Starting Point
"Finsbury Leisure Centre, St. Luke's",343,254,Starting Point
"Waterloo Station 3, Waterloo",333,36,Starting Point
"Allington Street, Victoria",324,168,Starting Point
"Kennington Cross, Kennington",323,138,Starting Point
"Bethnal Green Road, Shoreditch",299,153,Starting Point
"Great Dover Street, The Borough",296,50,Starting Point
"Pitfield Street Central, Hoxton",292,13,Starting Point
"Endsleigh Gardens, Euston",292,125,Starting Point
"Old Street Station, St. Luke's",290,277,Starting Point
"Macclesfield Rd, St Lukes",283,50,Starting Point
"Stamford Street, South Bank",277,150,Starting Point
"William IV Street, Strand",275,226,Starting Point
"Fanshaw Street, Hoxton",274,97,Starting Point
"Strata, Elephant & Castle",273,68,Starting Point
"Finsbury Circus, Liverpool Street",270,300,Ending Point
"Bricklayers Arms, Borough",267,74,Starting Point
"Tysoe Street, Clerkenwell",266,197,Starting Point
"Hop Exchange, The Borough",265,541,Ending Point
"Bath Street, St. Luke's",261,168,Starting Point
"Ossulston Street, Somers Town",259,167,Starting Point
"Columbia Road, Shoreditch",251,55,Starting Point
"Sea Containers, South Bank",251,245,Starting Point
"Berry Street, Clerkenwell",247,282,Ending Point
"Blackfriars Station, St. Paul's",236,244,Ending Point
"Curlew Street, Shad Thames",236,77,Starting Point
"Murray Grove , Hoxton",235,39,Starting Point
"Webber Street , Southwark",234,110,Starting Point
"Ashley Place, Victoria",233,129,Starting Point
"Page Street, Westminster",233,349,Ending Point
"Walworth Square, Walworth",232,53,Starting Point
"Percival Street, Finsbury",227,82,Starting Point
"Milroy Walk, South Bank",225,147,Starting Point
"Shoreditch High Street, Shoreditch",224,246,Ending Point
"Wren Street, Holborn",222,68,Starting Point
"Warren Street Station, Euston",218,205,Starting Point
"Lambeth Palace Road, Waterloo",218,199,Starting Point
"Baldwin Street, St. Luke's",217,208,Starting Point
"Tower Wharf, Bermondsey",216,52,Starting Point
"Harrington Square 1, Camden Town",216,109,Starting Point
"Craven Street, Strand",215,151,Starting Point
"Gloucester Street, Pimlico",215,48,Starting Point
"Northington Street , Holborn",214,211,Starting Point
"Bermondsey Street, Bermondsey",212,107,Starting Point
"Birkenhead Street, King's Cross",212,48,Starting Point
"Braham Street, Aldgate",210,305,Ending Point
"Hatton Wall, Holborn",208,338,Ending Point
"Graham Street, Angel",208,56,Starting Point
"Leman Street, Aldgate",205,91,Starting Point
"Sadlers Sports Centre, Finsbury",204,199,Starting Point
"Moorfields, Moorgate",203,535,Ending Point
"Park Road (Baker Street), The Regent's Park",201,57,Starting Point
"Albany Street, The Regent's Park",201,36,Starting Point
"Snowsfields, London Bridge",200,165,Starting Point
"Belvedere Road 1, South Bank",199,33,Starting Point
"Baker Street, Marylebone",198,145,Starting Point
"Clerkenwell Green, Clerkenwell",198,182,Starting Point
"Eccleston Place, Victoria",197,109,Starting Point
"Windsor Terrace, Hoxton",197,64,Starting Point
"Wellington Row, Bethnal Green",197,16,Starting Point
"West Smithfield Rotunda, Farringdon",196,203,Ending Point
"Howland Street, Fitzrovia",196,200,Ending Point
"Swan Street, The Borough",195,108,Starting Point
"St Mary's Hospital, Paddington",195,80,Starting Point
"Lollard Street, Vauxhall",193,39,Starting Point
"Chadwell Street, Angel",191,88,Starting Point
"Guilford Street , Bloomsbury",190,179,Starting Point
"Great Percy Street, Clerkenwell",189,56,Starting Point
"Regency Street, Westminster",188,51,Starting Point
"Warwick Row, Westminster",188,111,Starting Point
"City Road, Angel",187,23,Starting Point
"Dorset Square, Marylebone",187,76,Starting Point
"Crawford Street, Marylebone",184,102,Starting Point
"Gaywood  Street, Elephant & Castle",184,84,Starting Point
"Doric Way , Somers Town",183,54,Starting Point
"Empire Square, The Borough",182,89,Starting Point
"Holborn Circus, Holborn",181,1154,Ending Point
"St. James's Square, St. James's",179,484,Ending Point
"New Cavendish Street, Marylebone",179,120,Starting Point
"Theobald's Road , Holborn",178,225,Ending Point
"Goswell Road (City Uni), Finsbury",177,65,Starting Point
"Ontario Street, Elephant & Castle",175,106,Starting Point
"New Kent Road, The Borough",175,61,Starting Point
"Cloudesley Road, Angel",174,18,Starting Point
"Cromer Street, Bloomsbury",172,49,Starting Point
"Shouldham Street, Marylebone",170,62,Starting Point
"Porchester Place, Paddington",169,68,Starting Point
"St. John's Wood Church, The Regent's Park",169,16,Starting Point
