Station,Community
"Claremont Square, Angel",0
"Southwark Street, Bankside",0
"Aldersgate Street, Barbican",0
"St. Mary Axe, Aldgate",0
"Crawford Street, Marylebone",1
"Crinan Street, King's Cross",0
"Kennington Cross, Kennington",0
"Baylis Road, Waterloo",0
"Duke Street Hill, London Bridge",0
"Bankside Mix, Bankside",0
"Finsbury Leisure Centre, St. Luke's",0
"Fore Street, Guildhall",0
"Bell Street , Marylebone",1
"Grosvenor Square, Mayfair",1
"Wormwood Street, Liverpool Street",0
"Lambeth Road, Vauxhall",1
"LSBU (Borough Road), Elephant & Castle",0
"Hatton Wall, Holborn",0
"Roscoe Street, St. Luke's",0
"Farringdon Street, Holborn",0
"St. John's Wood Church, The Regent's Park",1
"Paddington Street, Marylebone",1
"Strata, Elephant & Castle",0
"Newgate Street , St. Paul's",0
"Bricklayers Arms, Borough",0
"Wood Street, Guildhall",0
"Tyers Gate, Bermondsey",0
"Brushfield Street, Liverpool Street",0
"Walworth Square, Walworth",0
"Snowsfields, London Bridge",0
"Green Park Station, Mayfair",1
"Hinde Street, Marylebone",1
"Queen Street 1, Bank",0
"Elizabeth Bridge, Victoria",1
"Tachbrook Street, Victoria",1
"Birkenhead Street, King's Cross",2
"Northington Street , Holborn",0
"Waterloo Station 3, Waterloo",0
"St. James's Square, St. James's",1
"Eagle Wharf Road, Hoxton",0
"Percival Street, Finsbury",0
"Museum of London, Barbican",0
"Swan Street, The Borough",0
"Ashley Place, Victoria",1
"Sackville Street, Mayfair",1
"Golden Square, Soho",1
"Murray Grove , Hoxton",0
"Bethnal Green Road, Shoreditch",0
"West Smithfield Rotunda, Farringdon",0
"Boston Place, Marylebone",1
"The Guildhall, Guildhall",0
"Smith Square, Westminster",1
"Fanshaw Street, Hoxton",0
"King Edward Street, St Pauls",0
"Houndsditch, Aldgate",0
"Cartwright Gardens , Bloomsbury",2
"Tavistock Street, Covent Garden",0
"Curlew Street, Shad Thames",0
"Russell Square Station, Bloomsbury",1
"Abbey Orchard Street, Westminster",1
"Kings Gate House, Westminster",1
"Great Tower Street, Monument",0
"Charles II Street, West End",1
"Drury Lane, Covent Garden",0
"Foley Street, Fitzrovia",1
"Graham Street, Angel",0
"Seymour Place, Marylebone",1
"George Place Mews, Marylebone",1
"Pall Mall East, West End",1
"Bouverie Street, Temple",0
"Blackfriars Station, St. Paul's",0
"St. Bride Street, Holborn",0
"Sea Containers, South Bank",0
"Old Quebec Street, Marylebone",1
"Margery Street, Clerkenwell",0
"Leman Street, Aldgate",0
"Theobald's Road , Holborn",0
"Ebury Bridge, Pimlico",1
"Sloane Avenue, Knightsbridge",1
"Walnut Tree Walk, Vauxhall",0
"Park Street, Bankside",0
"Harriet Street, Knightsbridge",1
"Royal Avenue 2, Chelsea",1
"Sedding Street, Sloane Square",1
"Commercial Street, Shoreditch",0
"Gloucester Street, Pimlico",1
"Long Lane , Bermondsey",0
"Crosswall, Tower",0
"Clarges Street, Mayfair",1
"Clerkenwell Green, Clerkenwell",0
"Gower Place , Euston",1
"Craven Street, Strand",1
"Euston Square Gardens, Euston",2
"George Street, Marylebone",1
"Porchester Place, Paddington",1
"Wenlock Road , Hoxton",0
"Portland Place, Marylebone",1
"Barbican Centre, Barbican",0
"Norton Folgate, Liverpool Street",0
"Storey's Gate, Westminster",1
"Kennington Station, Kennington",0
"Finsbury Circus, Liverpool Street",0
"Cadogan Gardens, Chelsea",1
"Woodstock Street, Mayfair",1
"Pitfield Street Central, Hoxton",0
"Tysoe Street, Clerkenwell",0
"Harrington Square 1, Camden Town",1
