Start station,lat_start,lon_start
"Claremont Square, Angel",51.531666,-0.109914
"Southwark Street, Bankside",51.505409,-0.098341
"Aldersgate Street, Barbican",51.520841,-0.09734
"Crawford Street, Marylebone",51.52026,-0.157183
"Kennington Cross, Kennington",51.48894,-0.111435
"Duke Street Hill, London Bridge",51.506304,-0.087262
"Finsbury Leisure Centre, St. Luke's",51.526008,-0.096317
"Bell Street , Marylebone",51.522029,-0.165842
"Wormwood Street, Liverpool Street",51.516154,-0.082422
"LSBU (Borough Road), Elephant & Castle",51.498744,-0.103132
"Roscoe Street, St. Luke's",51.522954,-0.094934
"St. John's Wood Church, The Regent's Park",51.530529,-0.167515
"Strata, Elephant & Castle",51.493146,-0.099828
"Bricklayers Arms, Borough",51.495061,-0.085814
"Tyers Gate, Bermondsey",51.500889,-0.083159
"Walworth Square, Walworth",51.491327,-0.096518
"Green Park Station, Mayfair",51.506613,-0.142844
"Fore Street, Guildhall",51.518093,-0.091401
"Elizabeth Bridge, Victoria",51.492369,-0.147478
"Birkenhead Street, King's Cross",51.530199,-0.122299
"Waterloo Station 3, Waterloo",51.503791,-0.112824
"St. James's Square, St. James's",51.507424,-0.134621
"Eagle Wharf Road, Hoxton",51.53356,-0.09315
"Percival Street, Finsbury",51.526153,-0.102208
"Swan Street, The Borough",51.500296,-0.092762
"Sackville Street, Mayfair",51.510048,-0.138846
"Murray Grove , Hoxton",51.53089,-0.089782
"Boston Place, Marylebone",51.522511,-0.162298
"Fanshaw Street, Hoxton",51.529537,-0.083353
"Cartwright Gardens , Bloomsbury",51.526357,-0.125979
"Curlew Street, Shad Thames",51.502279,-0.074189
"Abbey Orchard Street, Westminster",51.498125,-0.132102
"Newgate Street , St. Paul's",51.515418,-0.09885
"Great Tower Street, Monument",51.510484,-0.082989
"Drury Lane, Covent Garden",51.51477,-0.122219
"Graham Street, Angel",51.532661,-0.099981
"Seymour Place, Marylebone",51.520331,-0.163667
"Lambeth Road, Vauxhall",51.494881,-0.117974
"Blackfriars Station, St. Paul's",51.511934,-0.103078
"Sea Containers, South Bank",51.508033,-0.106823
"Old Quebec Street, Marylebone",51.514577,-0.158264
"Leman Street, Aldgate",51.512363,-0.069542
"Ebury Bridge, Pimlico",51.490491,-0.149186
"Walnut Tree Walk, Vauxhall",51.493686,-0.111014
"Harriet Street, Knightsbridge",51.500241,-0.15934
"Royal Avenue 2, Chelsea",51.490083,-0.162418
"Commercial Street, Shoreditch",51.52127,-0.075578
"Gloucester Street, Pimlico",51.490962,-0.139625
"Long Lane , Bermondsey",51.499075,-0.085666
"Crosswall, Tower",51.511594,-0.077121
"Clerkenwell Green, Clerkenwell",51.52326,-0.104708
"Gower Place , Euston",51.525227,-0.135188
"Euston Square Gardens, Euston",51.527068,-0.131861
"Ashley Place, Victoria",51.49616,-0.140947
"Wenlock Road , Hoxton",51.530991,-0.093903
"Portland Place, Marylebone",51.520715,-0.145211
"Kennington Station, Kennington",51.488852,-0.105593
"Cadogan Gardens, Chelsea",51.492462,-0.159919
"Pitfield Street Central, Hoxton",51.53213,-0.08299
"Harrington Square 1, Camden Town",51.533019,-0.139174
"Sail Street, Vauxhall",51.495656,-0.114605
"Lollard Street, Vauxhall",51.49288,-0.114934
"Queen Street 1, Bank",51.511553,-0.09294
"Barbican Centre, Barbican",51.520044,-0.092176
"Great Percy Street, Clerkenwell",51.528915,-0.11548
"Albany Street, The Regent's Park",51.528302,-0.144466
"Kingsway, Covent Garden",51.514409,-0.118478
"Eccleston Place, Victoria",51.49395,-0.147624
"Ampton Street , Clerkenwell",51.52728,-0.118295
"Theobald's Road , Holborn",51.520596,-0.116688
"Windsor Terrace, Hoxton",51.529154,-0.093421
"Hyde Park Corner, Hyde Park",51.503117,-0.15352
"Bethnal Green Road, Shoreditch",51.523648,-0.074754
"Tower Wharf, Bermondsey",51.500845,-0.074704
"Tooley Street, Bermondsey",51.503493,-0.07962
"Goswell Road (City Uni), Finsbury",51.528246,-0.101026
"Rampayne Street, Pimlico",51.489975,-0.132845
"Tanner Street, Bermondsey",51.500647,-0.0786
"Golden Lane, Barbican",51.521747,-0.094475
"Endsleigh Gardens, Euston",51.526838,-0.130504
"City Road, Angel",51.530344,-0.100168
"Snowsfields, London Bridge",51.502153,-0.083632
"George Place Mews, Marylebone",51.516892,-0.158249
"Regency Street, Westminster",51.49206,-0.132224
"Old Street Station, St. Luke's",51.525615,-0.088532
"Butler Place, Westminster",51.497829,-0.13544
"West Smithfield Rotunda, Farringdon",51.518218,-0.100791
"Wood Street, Guildhall",51.517008,-0.093885
"Craven Street, Strand",51.508103,-0.126021
"Sadlers Sports Centre, Finsbury",51.524868,-0.099489
"Vincent Street, Pimlico",51.493072,-0.129925
"Shoreditch High Street, Shoreditch",51.526377,-0.07813
"St. Martin's Street, West End",51.509087,-0.129697
"Finsbury Circus, Liverpool Street",51.517075,-0.086685
"New North Road 2, Hoxton",51.53114,-0.086016
"Albert Embankment, Vauxhall",51.490435,-0.122806
"Soho Square , Soho",51.515631,-0.132328
"Stamford Street, South Bank",51.505569,-0.111606
"Grosvenor Crescent, Belgravia",51.501352,-0.153194
"Warwick Row, Westminster",51.497998,-0.14296
"Bermondsey Street, Bermondsey",51.497855,-0.081608
"Page Street, Westminster",51.493978,-0.127554
"Macclesfield Rd, St Lukes",51.529423,-0.097122
"Hatton Wall, Holborn",51.521661,-0.109006
"Sedding Street, Sloane Square",51.49313,-0.156876
"Risinghill Street, Angel",51.533319,-0.111781
"Edgware Road Station, Marylebone",51.519968,-0.169774
"Queen Victoria Street, St. Paul's",51.511961,-0.097441
"Dorset Square, Marylebone",51.522596,-0.161113
"Granby Street, Shoreditch",51.525645,-0.069543
"Hoxton Street, Hoxton",51.52959,-0.0801
"Waterloo Road, South Bank",51.50486,-0.113001
"Buxton Street 1, Shoreditch",51.521776,-0.068856
"Lambeth North Station, Waterloo",51.49914,-0.112031
"Cloudesley Road, Angel",51.534408,-0.109025
"Hop Exchange, The Borough",51.504627,-0.091773
"Braham Street, Aldgate",51.514233,-0.073537
"Bell Lane, Liverpool Street",51.517475,-0.075855
"St. Bride Street, Holborn",51.515059,-0.105344
"Leonard Circus , Shoreditch",51.524696,-0.084439
"Scala Street, Fitzrovia",51.519914,-0.136039
"Doric Way , Somers Town",51.528833,-0.13225
